milliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
4200,3.575777939374572e-10,1.7581280903845753e-07,3.5074767286935978e-09,3.98175586547964e-10,1.4406145673158914e-10,1.2428578937449676e-08,5.155146461071514e-09,1.057184363953775e-09,6.563655961434862e-10,5.666635581594141e-12,3.520438007230416e-12,1.0196326140915413e-13,4.460410185520901e-14,8.735555819997056e-13,6.763375567796087e-13,1.347164958328214e-11,1.3733613640945965e-11,4.0966297544746487e-13,1.431921260790179e-14,1.512480577169486e-16,3.2723731024769744e-18,1.8127148514626795e-17,4.40729560548365e-13,2.929102272884189e-14,4.0230413486757985e-11,9.634588687869531e-11,1.0124590615931667e-14,6.743594440021162e-14,1.0623660162236375e-10,2.988236441693512e-11
4300,2.424913672543345e-10,1.7616356210288545e-07,3.5333866403008136e-09,3.889686747984125e-10,1.4123078833650131e-10,1.2806476121330548e-08,5.2494087924521514e-09,1.124158168049665e-09,6.4203551990875e-10,5.791560687276882e-12,3.4953403422639837e-12,1.0831197125605829e-13,4.465448312483135e-14,8.689127934366655e-13,7.041114078035936e-13,1.3773579805432822e-11,1.3635739118791587e-11,4.258340035497644e-13,1.4957129943522377e-14,1.6355721826886316e-16,3.5529160865708026e-18,1.992706050784468e-17,4.692386714448268e-13,3.2029031237999784e-14,4.341369510835978e-11,9.715185558142302e-11,1.0737241497285162e-14,7.313071164816482e-14,1.1499301362807981e-10,2.8901025653150567e-11
4400,4.324561051017859e-10,1.7514299213169027e-07,3.5300864651007556e-09,4.01617334852154e-10,1.4086088723421631e-10,1.269341415775012e-08,5.189995667740155e-09,1.1996835521581844e-09,6.616730563201417e-10,6.038027894021192e-12,3.5659186831119553e-12,1.0712535567734579e-13,4.4859370429583064e-14,9.272826699135218e-13,7.122586318242054e-13,1.4129529621182677e-11,1.414488936381643e-11,4.420501925962945e-13,1.5983561568903278e-14,1.6996910117028345e-16,3.5953105179526815e-18,2.0647687531114296e-17,4.974151223500669e-13,3.3341118753921076e-14,4.485075105580721e-11,1.0408972683254977e-10,1.0872365722073996e-14,7.561333869402933e-14,1.1568818364316775e-10,3.074345742835673e-11
4500,2.58012441870865e-10,1.7546334284709548e-07,3.6153954799280744e-09,4.0040717922406516e-10,1.3970892237807002e-10,1.3065333081087816e-08,5.341109159321559e-09,1.2143436362049752e-09,6.518810877838748e-10,6.4133840074694835e-12,3.53153784075006e-12,1.1139817537499564e-13,4.618364368459726e-14,1.0181221277115044e-12,7.080300048750718e-13,1.3988265857936902e-11,1.3923325787502517e-11,4.728801597220364e-13,1.703551445274874e-14,1.851600580919568e-16,4.042255902603951e-18,2.2629707662628286e-17,5.174242368671613e-13,3.622497741575644e-14,4.412340005118868e-11,1.1195152583383865e-10,1.1384363933002753e-14,8.157123273696708e-14,1.2480312460293375e-10,3.0478842838195186e-11
4600,3.3718519756005725e-10,1.749544933389901e-07,3.60458730291696e-09,4.109189975614312e-10,1.4311171244980483e-10,1.332050113815761e-08,5.181402491823934e-09,1.2514860034903388e-09,6.681764500348739e-10,6.805904641660892e-12,3.612825144970719e-12,1.1632627476401395e-13,4.543888429695131e-14,1.0488550504785763e-12,7.283599055428839e-13,1.4689255171211604e-11,1.443438119277855e-11,4.842769907902754e-13,1.7797821831412553e-14,1.9622224121615464e-16,4.23480189789691e-18,2.4600486598760306e-17,5.334547220551808e-13,3.620640965575108e-14,4.863350225415592e-11,1.1854031270651948e-10,1.1824869551533303e-14,8.68775842696299e-14,1.3011627311705593e-10,3.148601501778009e-11
4700,3.4482479544330115e-10,1.74877948126819e-07,3.537377177375706e-09,4.2346443247565287e-10,1.4176936581409473e-10,1.382905899665164e-08,5.217675505199208e-09,1.2904949531188916e-09,6.87143280086266e-10,7.104212716918846e-12,3.6509559093052965e-12,1.1831017194894197e-13,4.62158337819004e-14,1.1148164334009168e-12,7.281570248352159e-13,1.4643931042907317e-11,1.4494400404981245e-11,5.030433803507642e-13,1.8333222387607787e-14,2.0756537327221163e-16,4.290371491793498e-18,2.694543256539222e-17,5.512650329299715e-13,3.9342278947104244e-14,4.796707135117607e-11,1.2169671856917854e-10,1.1944756718538163e-14,9.179967431194884e-14,1.3393112517496097e-10,3.241694890023033e-11
4800,3.372663121975377e-10,1.7410652269457543e-07,3.4770115834682593e-09,4.316987288258504e-10,1.3993308551699806e-10,1.4640453984283568e-08,5.152981334084398e-09,1.3413734248353831e-09,6.59847468983548e-10,7.278367609956662e-12,3.574455310937143e-12,1.1675361433882182e-13,4.4229240301780925e-14,1.0918348559524314e-12,7.598311917347837e-13,1.5071103693140527e-11,1.472613239172371e-11,5.349464701796462e-13,1.8246894830817008e-14,2.076795218472967e-16,4.6075019711841955e-18,2.845919731436128e-17,5.412129973273401e-13,4.2502684824168765e-14,4.9383300730701976e-11,1.3054929332755469e-10,1.3050899236053656e-14,9.268144395030161e-14,1.4788498212228865e-10,3.186594867406117e-11
4900,3.663026320635576e-10,1.7399980117933746e-07,3.647221462759256e-09,4.3340895552921786e-10,1.431093938110786e-10,1.4154228107572281e-08,5.260092376737223e-09,1.3425861328522452e-09,6.868791352830729e-10,7.434370912138804e-12,3.5715728499098595e-12,1.226678077243935e-13,4.5847025205844684e-14,1.1702949794716129e-12,7.658414963393279e-13,1.5661578845437678e-11,1.5874852933321616e-11,5.608204684435104e-13,1.9008261890234587e-14,2.326214418919579e-16,4.667288714880926e-18,3.1129599876282764e-17,5.71357097976761e-13,4.287158998611214e-14,5.2303023159233615e-11,1.3365521960207902e-10,1.3264539456960972e-14,1.0343854293717205e-13,1.5235607526444478e-10,3.3585058865314984e-11
5000,2.434367533881746e-10,1.7390330514335896e-07,3.521756067628952e-09,4.5011074201437323e-10,1.4219392995064835e-10,1.5126331908652234e-08,5.244957384713885e-09,1.3791928247768886e-09,6.715770073814309e-10,7.419739812532247e-12,3.5759193319906786e-12,1.2460475163218346e-13,4.42772421286573e-14,1.2242424883793936e-12,7.69585657011681e-13,1.5376245689374668e-11,1.6221293866333972e-11,5.816055856091797e-13,2.0401527823678802e-14,2.3251099863865127e-16,4.8980696500791344e-18,3.173003787924409e-17,5.926921905370734e-13,4.7181832866230476e-14,5.330532943672601e-11,1.3383741717512068e-10,1.3483613809195929e-14,1.0360581435670683e-13,1.5379546489118836e-10,3.34667207984905e-11
