miliseconds,Ras2_GDP,Cdc25,Ras2_GDP_Cdc25,Ras2_Cdc25,Ras2_GTP_Cdc25,Ras2_GTP,Ira2,Ras2_GTP_Ira2,CYR1,Ras2_GTP_CYR1,cAMP,PKA,cAMP_PKA,IIcAMP_PKA,IIIcAMP_PKA,IVcAMP_PKA,C,R_2cAMP,R,R_C,Pde1,Pde1f,cAMP_Pde1f,AMP,PPA2,Pde2,cAMP_Pde2,Cdc25f,Ira2P,Ras2_GTP_Ira2P
3300,19353.190339801604,0.14722552104496126,152.76342575977938,5.820262259139262e-05,144.71122546786253,147.65758582499728,43.65388154286613,154.09813712497595,159.13958544791691,40.601496392443345,1569.1407001873872,2467.829502354251,31.607606711065316,0.2208479249973938,0.0019412282189985221,6.899320172856021e-07,9.398696680778148e-07,-4.260001621128956e-06,1.175339831823016e-06,1.3993565564102823e-10,1399.9999999996778,4.49051428456827e-11,-1.1941129057727473e-09,391.7104164081495,4000.0,6219.405768880598,285.5176434380513,2.9635602851509274e-09,1.0757857410001456e-09,3.580412652583189e-08
3400,19338.96819195476,0.6836234960480023,154.8334499669842,5.8342227480779274e-05,146.82091835934295,152.99680349548402,43.11538223658713,160.41902481962137,156.58813358224143,42.665307124913994,1746.3533488024536,2464.0383011689487,35.429949586898,0.298572134762773,0.0006082301920448959,-5.267957355171474e-06,6.572686077223095e-06,3.1371342241169478e-06,-7.914047107445579e-07,1.1370999428219711e-10,1399.9999999989911,4.441505767649079e-12,2.520434198240298e-09,453.55579321203766,4000.0,6194.333310844788,305.5202332771454,-5.909166158391368e-10,-8.85101756962861e-12,2.1634641136762687e-08
3500,19332.181951542883,-1.830521514074456,153.2152655871347,5.768742533407357e-05,146.75081698610234,161.05300052615436,37.001282732542656,158.7829786847635,156.49664284452345,45.45753645041811,1807.2691853145536,2459.7561276228635,41.84484652906259,0.38742270983349414,0.0013832221617289505,1.2163153044839197e-05,7.77813260126134e-07,-1.07098173343143e-06,-9.643427021398853e-07,5.729292813755854e-12,1400.0000000011482,3.245826991247486e-11,2.078019934729245e-09,516.2064028618238,4000.0,6160.7176567001825,319.30764279072446,-4.5260267054557253e-10,1.5512951378200365e-09,2.9922847239588084e-08
3600,19318.91425094092,1.4446745303063033,152.29637033393863,5.7575480497999736e-05,144.8915505750615,170.7836692613161,37.60924098763062,166.51681539510227,152.58136892659027,47.48605849768759,1973.0498737783805,2454.735748927718,45.64625687676629,0.4086078881187514,0.0019574734968412426,1.7813017002918544e-05,-7.610205768314002e-07,9.828878029662888e-07,-5.218399212603623e-07,-1.879709895336419e-12,1400.0000000007076,3.791272228231451e-11,-1.3046368326849124e-09,536.5295401360682,4000.0,6143.866267318043,356.45464745995497,3.9744256043458115e-09,6.432166028186162e-10,4.8572574024303305e-09
3700,19314.522513498607,-1.0033057859057741,152.54210077022907,5.831794787656699e-05,145.7839204145814,171.07826576683766,33.140440121830615,167.85570869528536,150.5335456682558,49.00744956789857,2180.116112576725,2450.5771848657064,47.82457978199779,0.5158347510547038,0.004181899743929032,7.359010052350967e-06,6.388949065247508e-06,1.1613929007591621e-05,1.9674350092458367e-06,-6.35438602031207e-11,1399.9999999962056,1.840608482812716e-10,3.1155513238733606e-09,591.9159854588403,4000.0,6113.213179270103,394.75651317444533,3.974916403041423e-09,2.13951654520678e-09,1.5618085471373675e-08
3800,19309.724262632008,-1.4785519866477115,152.53671005890305,5.8006718366725365e-05,146.68652920842644,176.4825092597474,32.98550967817855,169.34311845574408,148.4294565422691,51.70009324747122,2264.9167532458346,2445.47961998295,53.53972438672912,0.650202412683907,0.00408153907650982,3.0090019468034882e-05,1.0032442956490201e-05,7.916627274120433e-06,2.6519527044840333e-06,1.41280537582608e-10,1399.9999999961053,2.364454739410661e-10,1.8638170550793987e-09,664.5503765730946,4000.0,6084.1132480499555,411.1922192438328,4.176341709147247e-09,2.6239199964494597e-09,1.2982584768995123e-07
3900,19287.78448397811,0.5731614153788752,155.13534412540835,5.7852891764328195e-05,145.73687017660617,181.8655805450943,30.79537903103353,169.2561378867222,146.87889764591856,54.951741375157184,2434.611534012718,2440.9634324906897,58.009473048052136,0.7250446664820399,0.0058473497547405304,2.7203761308964916e-05,1.4600468159775421e-05,1.3448505884494098e-05,1.7102774555521789e-06,-7.71885927959439e-11,1399.9999999916881,3.3376963857209356e-10,2.665950354437065e-09,767.326921885852,4000.0,6058.181230201546,449.9624145363236,6.358251432746505e-09,3.912691633644168e-09,1.3686206219706964e-07
4000,19280.39203792698,-0.5961149226631701,152.67015416640618,5.7680842674928985e-05,144.71600445077138,189.34830134202468,29.390772929280647,168.82398134797072,142.95173071199093,56.89526460115362,2653.186572395993,2433.05128834386,65.18212186043029,0.9024175136436885,0.00937487662427431,5.495937976623629e-05,2.3980656324091223e-05,1.8427125492311294e-05,5.523499138456405e-06,8.203899010917183e-11,1399.9999999938318,3.455009968121344e-10,8.18305218001348e-09,841.226783248767,4000.0,6031.551765832897,479.0867691587455,1.0598861294492524e-08,4.221394696939321e-09,1.7804536493115065e-07
4100,19280.158236949075,-1.8327480552839113,152.55765990815652,5.802702097709224e-05,147.2280224883927,196.25020950541227,28.750139888799705,171.74400400100308,140.74825296176638,59.82026492758103,2859.114521944128,2427.632815835865,71.53625594660713,1.0382862447468986,0.01101779437724931,6.040410124745676e-05,3.0977489420999637e-05,2.6919750713263798e-05,8.266772286157318e-06,2.5569670169846855e-11,1399.999999988989,4.489496226829366e-10,1.2202832514961288e-08,918.5531911946043,4000.0,6002.103349512325,494.9706379086642,1.218087538816462e-08,6.140511034815198e-09,2.629812529481859e-07
4200,19255.083186934775,-1.0371426961004946,153.55980355149916,5.81749883205538e-05,147.4425953830105,203.27817176212278,25.415383923450413,174.22569786217548,138.67746992954744,61.77050162568145,2984.694763021606,2424.1658588160535,76.58694746310668,1.244362643022213,0.01335420912253484,9.48057927418001e-05,5.898293725485619e-05,4.721423265264154e-05,1.2074055521646484e-05,4.4585301151815734e-11,1399.9999999779411,7.377624418235814e-10,1.9033143466670243e-08,985.8545712072854,4000.0,5959.787399778533,545.4283339225975,1.6696871515154327e-08,8.642856008390442e-09,4.0722073292695487e-07
