milliseconds,cpep,cglcex,cg6p,cpyr,cf6p,cg1p,cpg,cfdp,csed7p,cgap,ce4p,cxyl5p,crib5p,cdhap,cpgp,cpg3,cpg2,cribu5p,accoa,malcoa,fer,fer_ext,fercoa,ferdicoa,cur,cur_ext
2000,0.2887630512648171,55.41248657749828,3.5433485785667993,5.901679487740661,0.6020217040740511,0.6397015786475545,0.8456523903687322,2.966766717683951,0.21849059797849027,0.47439357813198557,0.16927521202034654,0.17489744430696108,0.5311157464950821,0.5864706162480907,0.0012252306545379207,0.2290858310297309,0.04005493075311829,0.14257694425831507,3.1597308111051747,0.006105048248193741,235.5148428033624,238.97353570854855,2037.658701286139,2.10139189566334e-05,0.015916103000304552,0.016284966020730266
2100,0.303590251819963,55.41047305791039,3.588662885078324,5.922420261174266,0.6029220232549387,0.6371980529276274,0.8449504216772294,2.9181613200093675,0.2178906189196897,0.4669886358421291,0.16928280555374536,0.1735256534472217,0.5312031356221303,0.5726635001386846,0.0013667760567292616,0.23326446405005355,0.04694527677484171,0.1415158901865483,3.0078485986647476,0.014347664456442718,239.3941661041567,238.82033192387453,2088.689065366739,0.0006826252433934325,0.01606067738264558,0.016118412577411236
2200,0.2276494402223525,55.40992068353345,3.5471929889638747,5.986456481402605,0.6083412029989457,0.6389336643181082,0.8451273206037148,2.882707553108918,0.21506659253548116,0.4726460932516051,0.1671708664288624,0.1756610268896609,0.52831608491951,0.5662537025008678,0.0014569268424901318,0.2931932806775796,0.03899308280983448,0.1405025204629946,3.3185366511125136,0.022897378748646054,238.17194510274933,236.91302165559512,2242.174531878826,0.0009230283393309592,0.01658372315577853,0.01648114625014981
2300,0.27786693401038787,55.40653271141184,3.5608616588081228,6.017966762336894,0.6012753405090004,0.633518072565509,0.8446664472935229,2.8539884527557597,0.21916546213608912,0.4701451203186318,0.16689035915675898,0.17456859659230933,0.521602559000297,0.5775442451445827,0.001385004450522784,0.3009149688792256,0.046877011499744235,0.1400850686323729,3.4416182429020754,0.006093050895440792,237.447427893533,234.41763172440886,2121.3371207094788,0.00024283253837350028,0.016308408923294434,0.016231540370812654
2400,0.2958661651861448,55.400642955471,3.574605607893838,6.017119286193874,0.6082620724359412,0.6302143824674817,0.8451864359688054,2.75832844144279,0.2154456699359042,0.4643142367443979,0.1656959251438521,0.1753376478609916,0.5235220825370359,0.5645934144627323,0.0012203099296726162,0.3018137416929191,0.05203833457860038,0.13951992434738283,3.4186636598996354,-0.022838005446211947,234.8376526317902,231.7416966318741,2240.391640532996,0.0001400176057239205,0.016477537450164097,0.016774674611768806
2500,0.3041737242223116,55.402738644593846,3.5658013807271924,6.0495204726520955,0.6008829077670635,0.6285904973361535,0.8431887297111504,2.77431595498051,0.21535256782222037,0.46753708525244725,0.1650976465091186,0.1726652270153486,0.5183021015287395,0.5532935810385244,0.0013116093342410895,0.25280328852874556,0.043433978357328075,0.1392375429650801,3.407923290806909,0.00048703259201305434,231.3590519792366,232.07844000533228,2402.8036170513997,0.000385352249906431,0.016424906013763885,0.016555192146964128
2600,0.30146422523294425,55.392589034201755,3.5422223061540175,6.068576115838244,0.5984501430786549,0.6287634283945429,0.8435082889527328,2.720036026324037,0.21765432372524982,0.46770268061350895,0.16621890999607405,0.1743654584758667,0.5181229577440125,0.5537471376568802,0.0013951108436647604,0.2612556236479726,0.0554918575946464,0.13938534498178126,3.5759340312247634,-0.0015758670142506502,229.91379143717234,228.50660613547714,2618.7367906045138,0.0002483043876542858,0.016477812467472912,0.01655066073124195
2700,0.2910787547304927,55.39544977498944,3.5695920161655326,6.1557452170898985,0.6059981363961707,0.6244181301535816,0.8440637626572162,2.653561538112087,0.21534832654136776,0.46276302117127543,0.16505072339131635,0.17500750706644344,0.5178686790471783,0.5542424281609777,0.0013263774106482772,0.3139848385253419,0.050664362055391814,0.13908596633438305,3.7284964528305387,0.005501484263333117,226.4792612621109,227.0001974522648,2518.0123439302743,0.00044875194488620183,0.016668777390839384,0.017019729274884928
2800,0.28375791995829364,55.39125417451136,3.5832912480599712,6.257887594921545,0.6106849312854976,0.6255954889075782,0.8428680276710045,2.608596222451588,0.21296524310965992,0.462876305203604,0.16371057140416617,0.17555715328841573,0.5135681543058765,0.5459528410792092,0.0014166596016444374,0.26703702744406116,0.05145926499470241,0.13909628858553014,3.771245289380218,0.010560637647308104,228.70992283788843,227.53154525201438,2612.562214987255,-7.787413208934849e-05,0.016572613178236273,0.01661159417913977
2900,0.30612492643286,55.38933726271183,3.5517077823279677,6.257712527843408,0.6070159082344403,0.6207695830449319,0.8425804620941596,2.589312460973111,0.21502710295673538,0.46881648557093186,0.16350825458570206,0.1739626579003016,0.5079843644597831,0.5390791180591145,0.0013456846536275093,0.3066674532456139,0.04505269889562698,0.13949779019454364,3.8425613344282468,-0.005193914144413488,223.68084090691403,226.05087743965674,2837.2582635602366,0.0004922346899132023,0.01676086311507935,0.01693257072275822
3000,0.29325030394234153,55.389251255831816,3.594804257445088,6.406137725811643,0.6141946992821669,0.6186955834433256,0.8423372322742578,2.572149267587096,0.2131662285773216,0.4604138780321167,0.16342257207152666,0.1749607635833873,0.5126096794906547,0.5405431367780961,0.00130440309176495,0.3440315670105696,0.049463980488490274,0.1389939809029798,3.835163966236835,0.016650321686382957,221.14916552654876,224.92588898010092,2848.5986494983013,-0.0005203199609495847,0.017234695305261442,0.01650405157631519
3100,0.3560612742782273,55.38331949987487,3.552775365546677,6.416725535854375,0.6070756345028716,0.6202837645943267,0.8419189241361897,2.595598711894081,0.21628069821642623,0.46536187637320725,0.16372725991392856,0.17600877982814317,0.5077238338318307,0.5374405669933335,0.0014802399923352272,0.33142019995180066,0.05948536927960461,0.13868569243382878,3.940793306264888,-0.01594893155327346,220.13552497974464,222.58175578861645,2881.6705886292893,0.0006701614875539476,0.017172292205714403,0.01662171240347148
