milliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
3100,0.001977679125551988,6.184119277929687e-05,3.1950184675816734e-09,5.966083882908603e-08,7.161253900825973e-13,1.7725631933546492e-10,3.6997875841868435e-11,7.24124592079367e-13,0.00020277621577830278,1.0793867055352012e-05,1.1942390118675356e-05,0.09539250244563306
3200,0.001967390486908414,6.476372742321791e-05,3.339813257961006e-09,5.979640223158419e-08,7.324086124466934e-13,2.053986120904138e-10,5.0405299995472897e-11,5.901652659502241e-13,0.0001953688035351263,1.231036742441815e-05,1.2090691044080765e-05,0.09547808964777985
3300,0.002031015029627442,7.104767390445993e-05,3.3737525989336954e-09,5.714845488456532e-08,8.994439181810113e-13,2.4831291721498785e-10,5.765980990570525e-11,8.17408937251614e-13,0.00019632473787699125,1.1947581463980391e-05,1.1616783690841397e-05,0.09557552763300674
3400,0.002085242436511639,7.177830081896826e-05,3.716987692677656e-09,5.6420499490636716e-08,8.749260495843558e-13,2.5704686499222683e-10,5.52665622904325e-11,1.220857139807126e-12,0.00020060483119489138,1.2366749715176618e-05,1.1798836322732799e-05,0.09552435968563057
3500,0.0020454112284034303,7.234083717012118e-05,3.763791529364674e-09,5.448763225920278e-08,1.0453432510668852e-12,3.1376235499220595e-10,6.978793078541365e-11,1.1379346020185057e-12,0.0002025069990542739,1.4023505321617096e-05,1.15380650099815e-05,0.09540401471327707
3600,0.0020286074951363954,7.748523150544422e-05,4.213012565695736e-09,5.4785345935848466e-08,1.1180257482116123e-12,3.3163016904438394e-10,6.739912181933577e-11,1.6524317904547046e-12,0.00020627993801881813,1.4048852032981651e-05,1.1508248211277592e-05,0.0954079256639838
3700,0.0020726143812042834,8.460864928484567e-05,4.4271925806421504e-09,5.270488271863142e-08,1.073715950575092e-12,3.675563656715353e-10,8.11438761613274e-11,1.6952465494523989e-12,0.00020945886253254573,1.524805624318e-05,1.1539369732133452e-05,0.0953749875996641
3800,0.00204144532197263,8.250150728606113e-05,4.41551190132828e-09,5.261803421358076e-08,1.1723487450285082e-12,3.943457806895592e-10,9.420980461476163e-11,1.868983344753724e-12,0.00020802835986904794,1.5164169697683856e-05,1.1589632140459885e-05,0.09528387818754486
3900,0.0021747213395697735,8.506138203265233e-05,4.621771002559479e-09,4.975444108787413e-08,1.3398542164948823e-12,3.910360550846844e-10,9.870714592592242e-11,2.1647837958138907e-12,0.00021782852438215325,1.596791761684559e-05,1.1045321405251025e-05,0.09535038770278373
4000,0.002154626347581161,9.292459192684908e-05,5.18405996199445e-09,5.082818169134603e-08,1.409744227427504e-12,4.1640140715336996e-10,1.1085418090452641e-10,2.562172894080276e-12,0.00021149166091981243,1.6315197909586098e-05,1.1273597892515754e-05,0.09529785893851113
4100,0.002160979309780134,9.445559310566095e-05,5.305926615046307e-09,4.8731462736201296e-08,1.459573581405599e-12,4.726794146248223e-10,1.3171077927819875e-10,2.9411584967501826e-12,0.00021481074574599053,1.6849031552388385e-05,1.0809504890867912e-05,0.09537845312842252
4200,0.0021105840125888054,9.645376963278958e-05,5.3965832584940784e-09,4.625487908369978e-08,1.5182237374602884e-12,4.939295914255948e-10,1.4732936803137392e-10,3.186250350889073e-12,0.00021604234382392696,1.783833922093581e-05,1.0657226764858676e-05,0.09530655762011522
4300,0.002181488741865819,9.853481245928965e-05,5.643121319430014e-09,4.5254272809105065e-08,1.6210027076655647e-12,5.238927633271528e-10,1.5429620839093187e-10,3.924010009480689e-12,0.0002144076285266176,1.8691057976749443e-05,1.077864814907025e-05,0.0952456393657321
4400,0.0021317206107882136,0.00010340481929935284,6.0461354460569675e-09,4.562691599047606e-08,1.775284979714799e-12,5.561332869113684e-10,1.7063566256945275e-10,4.3265882803079666e-12,0.00021786824155986005,1.9288690831628403e-05,1.035945531121196e-05,0.09510843302496165
4500,0.002122234814133996,0.00010794277764184751,5.94127746361533e-09,4.496767184142987e-08,1.7879334800686195e-12,5.918929517137453e-10,1.7786889573191398e-10,4.589694633202601e-12,0.0002155395867607679,1.9519343489844573e-05,1.0348249418204985e-05,0.09509669762109958
4600,0.0020469622370208424,0.00010792224475574746,6.229659645942844e-09,4.2264251553689434e-08,1.863520902025081e-12,6.325552647147806e-10,1.9657804416980564e-10,5.168602782903716e-12,0.00022021967672535342,2.0196548802575854e-05,1.0274661800342372e-05,0.09495957452150218
4700,0.002041650237325388,0.00011417339602984616,6.654186640747766e-09,4.221247522598991e-08,2.0409167101640087e-12,6.909936883629716e-10,2.1489021783725072e-10,5.858001085972809e-12,0.00022318514385543555,2.080604749809197e-05,9.809356438130229e-06,0.0948803855202692
4800,0.00208265032042051,0.00011854622028579071,6.644926898761078e-09,4.089590250075398e-08,2.0761379497646095e-12,6.874643557724471e-10,2.2739384640209383e-10,6.6445278251150045e-12,0.00022224842994264082,2.2066355037934035e-05,9.568757037578621e-06,0.09492303750775886
4900,0.002032867554152934,0.00012043913138008547,7.1727097605703335e-09,3.9219806820128144e-08,2.2079455672352955e-12,7.522809325262454e-10,2.459209836032327e-10,7.419750922581651e-12,0.00022285294792322537,2.3292757884690877e-05,9.518119002810564e-06,0.09468989314804852
5000,0.002053134901159896,0.00012326036132005283,7.079031698209047e-09,3.826785118074215e-08,2.2661179640041824e-12,7.711294707761171e-10,2.658111457432844e-10,8.160627719459603e-12,0.0002320068099617221,2.3754064900807567e-05,9.697131642320058e-06,0.09464840274506757
