milliseconds,mLiver,mKidneyPlasma,mRemainder,mPlasmaVenous,mHeart,mMuscle,mAdipose,mBrain,mFeces,mUrineExternal,mIntestineLumen,mPlasmaArterial,mLung,mPortalVein,mStomach,mEnterocytes,mKidneyTissue,mIntestineVascular,mStomachLumen,mRBC,mKidneyTubular
2700,55.023770381546875,8.639640841656968,4.657262659686665,5.679296971974525,14.349850449353777,15.623193933828162,4.06073798355796,4.5685129322159135,1248.8452972427742,196.22688849110315,312.3662242617102,5.685439344971305,17.05043798507567,10.548633063553483,18.51224212965442,2627.266072778595,51.19367250776923,64.20334284738996,580.2549114416839,0.43833077608146104,2255.585620974796
2800,53.29510032512962,8.511964906198095,4.601986228335823,5.595102059571679,14.148998143840771,16.00334903077142,4.06877313272572,4.502575693877061,1268.333255745795,212.1758078524906,287.567063870796,5.601566239371149,16.798509196533768,10.181404361786274,18.26982774230775,2476.484371137876,50.29873152345226,61.59004465895745,525.0363890391843,0.4579181846432247,2300.2539559252623
2900,51.58773318199809,8.378396742325524,4.54154226138283,5.507126563744208,13.936808707346565,16.34646130219227,4.067094738923913,4.433328837294458,1286.2675569588887,228.41679223935142,264.5451178097372,5.513846617517785,16.535104190359114,9.822226792475227,18.010267098252367,2329.8105475959815,49.36362261103107,59.05346317675702,475.07261259845757,0.47709167862829105,2339.0751251171423
3000,49.90789549453599,8.240190123226881,4.476866149014361,5.41617866355229,13.715562831155317,16.653694286858563,4.056693746085122,4.361458218796623,1302.7605465905576,244.90981273213,243.2026017626075,5.42309773792012,16.26266602028122,9.471861673628702,17.736840762385434,2187.743143992397,48.39858853646581,56.59676314308374,429.8635193883754,0.4958402243678795,2372.308493142793
3100,48.26052708961955,8.098426388433284,4.408766888099085,5.322955609774632,13.48722699037209,16.926310087026355,4.038501023538268,4.2875553525472485,1317.9181787162413,261.6166951568433,223.44106303567372,5.3300246347393605,15.9833023116893,9.130884415685811,17.452378167821895,2050.6781191832447,47.41232710577008,54.22203841229743,388.9566314264722,0.5141557005409086,2400.223741137529
3200,46.64950568098572,7.954039094292201,4.337943877293692,5.228059605008033,13.253498188505343,17.165643017010883,4.013385369940383,4.212130885636042,1331.8400445867962,278.5011744599428,205.16312242274026,5.235236175444231,15.698833264361523,8.799718432724905,17.15932068851983,1918.919405450752,46.412236843755494,51.93052216327367,351.9425414835266,0.5320324957078495,2423.0964251836854
3300,45.077835060003096,7.807835186213025,4.265001586871704,5.132011423718724,13.015842365919335,17.373077372698997,3.982153015327949,4.135626166654961,1344.6194790003294,295.5289240082102,188.27377731750445,5.139258843628142,15.410832844871855,8.47866261299538,16.85977609461409,1792.6889413325264,45.40460327687153,49.722754588778194,318.45080480345,0.5494671603936915,2441.204337255648
3400,43.547798079549906,7.660513014773064,4.190462548221845,5.03526197772387,12.775527415113611,17.550029040743574,3.945548516764349,4.0584231496358445,1356.3437419800982,312.6675611438023,172.68133463535744,5.042548456407012,15.120663792692286,8.167912972644983,16.555565800499306,1672.1358178128419,44.394742470574116,47.598712215527634,288.14623051654485,0.5664581095142017,2454.824600051419
3500,42.06108131338768,7.512677634789119,4.114778839446748,4.938202136594854,12.533651491251184,17.6979302018929,3.904256654947738,3.9808528193302837,1367.0942552888102,329.8866344274209,158.29803130667472,4.945500112593432,14.829507341976704,7.867580531389367,16.248265853380094,1557.3447838614773,43.38714207416443,45.557913566411244,260.725514731449,0.5830053654938456,2464.231314501215
3600,40.61887322562052,7.364853297081212,4.038341705204107,4.84117074557648,12.291166100289031,17.81821712102254,3.858905094335396,3.9032020501832294,1376.9468764346814,347.1575938964668,145.04035720226332,4.848456313867178,14.5383874859196,7.577705400027188,15.93924069705423,1448.344193341604,42.38558401798497,43.599501361671095,235.91424281128627,0.5991103424814677,2469.693766515601
