milliseconds,FeDuo,FeRBC,FeSpleen,FeLiver,Tf,Hepcidin,Fe2Tf,Fe1Tf,NTBI,FeRest,FeBM
2400,0.003127443378319195,0.038153872359865684,0.002161706823010453,0.0019342037085010536,1.330361063585569e-05,1.352060778127898e-08,1.6686259735650365e-05,8.71744372401184e-06,4.4046477850685776e-08,0.0002842031426559572,0.0034590400791746287
2500,0.003188250562751342,0.03814946446911822,0.0021850568569354535,0.0019275611778676283,1.327088874447383e-05,1.2834404630408871e-08,1.663930396098484e-05,8.717620934826747e-06,4.376990174529219e-08,0.00028358178021127453,0.0034860599228321207
2600,0.0025758520268510713,0.038187065936591956,0.0022165416004876425,0.0019175644184193433,1.3346536276183043e-05,1.2810115874702229e-08,1.6675616748370313e-05,8.747505410965025e-06,4.388841844500763e-08,0.0002839514454429863,0.0034794055594202632
2700,0.0023748964310360593,0.03817431896912047,0.00219969040077888,0.0019202344024834923,1.3372356562875105e-05,1.3053298725348237e-08,1.6583590076353343e-05,8.764909853556744e-06,4.333579015662414e-08,0.0002834982714669192,0.0034914810958972453
2800,0.00222445675673651,0.03821156290360456,0.0021153749890966285,0.0019050606545950527,1.3421278628606416e-05,1.278705428426973e-08,1.6561041569211333e-05,8.773556268727594e-06,4.354021556376845e-08,0.0002831770811874868,0.003480860664544363
2900,0.0024233491375349123,0.03822482860112713,0.0020391429699237055,0.0018989626740458533,1.3405304123085213e-05,1.274628969761053e-08,1.6508953712034705e-05,8.770375564064091e-06,4.3382822522981576e-08,0.000282597740230488,0.003474109537512371
3000,0.0022562623758226033,0.03823925227423549,0.0020996792271930614,0.0018900150298146207,1.3521333512817598e-05,1.2443344652538787e-08,1.642908029289079e-05,8.7829257080845e-06,4.327031017943693e-08,0.0002821250189680199,0.003481388590367334
3100,0.0017986453194132894,0.03824557954969657,0.0020967158065917637,0.0018857542015088785,1.3487124175917758e-05,1.2485840462870452e-08,1.6415987472590233e-05,8.791883656153586e-06,4.272093327029084e-08,0.0002817688874997862,0.003494155992123881
3200,0.001828389415185536,0.038254121963617486,0.0020336194102122587,0.0018767454865377079,1.3562208951783107e-05,1.2407580177858065e-08,1.6380567824431706e-05,8.80610558957286e-06,4.2475973080554915e-08,0.00028162770150954306,0.0034876797690412704
3300,0.0013209079051176944,0.03826449019850271,0.0020500842418593743,0.0018663775686009658,1.3603503440184335e-05,1.2118642176936639e-08,1.6311642976527652e-05,8.819952089524858e-06,4.269674614288778e-08,0.0002806047352456748,0.003468834646869566
3400,0.0012437418461836128,0.03826442607237924,0.0020529436443326473,0.001873564460848232,1.367305078989484e-05,1.212423033984716e-08,1.625560203501457e-05,8.81127479769224e-06,4.252744466084111e-08,0.0002808387662078824,0.003485827043489937
3500,0.00106759880995004,0.038273608132846894,0.0020084797339302986,0.001862133552722374,1.3618870011448927e-05,1.2126645954365628e-08,1.6152446919631827e-05,8.833007667661858e-06,4.2331311412446415e-08,0.00028038681368946225,0.0034593767224790285
3600,0.0011820099038767312,0.03831420472897552,0.0020435984645370228,0.0018504926444706164,1.3703644066535496e-05,1.2291101860775208e-08,1.6098688705660868e-05,8.846715790566245e-06,4.219741665414413e-08,0.0002797006437893907,0.0034800640226568995
3700,0.001281737122035036,0.03832508346058268,0.0020219773158853043,0.0018458321459213427,1.3760734810558374e-05,1.1760746202630916e-08,1.613706036311455e-05,8.842280214685461e-06,4.2028009988154066e-08,0.0002793941793362719,0.0034606686562210494
3800,0.0010524675563520717,0.03832349073254871,0.0019153883362984937,0.001831309594911215,1.3724136361715754e-05,1.2241707220394076e-08,1.6013122923969242e-05,8.864650020885239e-06,4.178899277137084e-08,0.00027900065924567607,0.003468046873875864
3900,0.0010922814361946527,0.038322131088491494,0.002011951291761823,0.0018247181656453693,1.3799378047453588e-05,1.18546914503003e-08,1.5974877226698074e-05,8.878978174687563e-06,4.146780465173605e-08,0.0002779838642379727,0.0034475496253639575
