miliseconds,P,G6P,F6P,F16P,NADH,NAD,BPG,P3G,P2G,PEP,PYR,ACE,GA3P,DHAP,D6PGluconoLactone,D6PGluconate,NADP,NADPH,Ribulose5P,Ribose5P,Xyl5P,Seduhept7P,Erythrose4P,GLCi
1000,7.261012470750404,2.541050469665917,0.3478826383431344,1.2861683593135451,0.043829082107419017,1.5435560079209756,0.0014055616967584518,0.6582261515371729,0.08893873759674722,0.187946897036127,11.557112889438034,0.17534296348471134,0.04704814848877401,1.1935784199609991,0.5016256443694309,0.39323522080211787,0.6784684589441925,1.3248650932070343,0.143733864678939,0.14822814078185398,0.1432275473289401,0.25835347732738556,0.024686841521559862,0.0781397579232928
1100,7.30720853341306,2.5961339796953475,0.365118016643428,1.3305540783986833,0.04227631121353325,1.5466497857116397,0.0016382183925362972,0.6738641916133844,0.09142921690249681,0.19723443590625578,11.590822456795607,0.17559842625307245,0.048037253433566025,1.1979123686245852,0.5105689647351366,0.4311176117206165,0.65056600999217,1.3558587778811555,0.1560643054737945,0.15367692964865468,0.15643559964519288,0.27944285764835186,0.02642260893325805,0.07806615702410155
1200,7.311407457760978,2.6609374360820848,0.36840891273970805,1.3455970399506696,0.04426172271500791,1.5465808992370067,0.0017553296946193147,0.6873589830961984,0.09318077547538146,0.2086096233967197,11.775194826513442,0.1770730790047644,0.04832609295955622,1.2145446284561912,0.5318761095749772,0.47521908319988543,0.6272094288673395,1.374020197561386,0.1595852776995259,0.1597221034559118,0.16017546465099297,0.28341143672815544,0.02707063773853188,0.07775770592927136
1300,7.3319166772155455,2.7105254006362003,0.3835874272844782,1.3715472321859383,0.04562097608495681,1.5484295849478318,0.0015590771585448017,0.719674090237308,0.09623672326523086,0.210276145490443,12.111400209415322,0.17986466427512415,0.049002312547543544,1.2299944492234376,0.5457172375822631,0.5073211625764459,0.5942765227976157,1.410578126860485,0.1708996071660894,0.16905354023287605,0.1704525386784084,0.31411488117831093,0.027953821007836426,0.07758799457590938
1400,7.35924722831109,2.7953871187175325,0.3863023241230103,1.3845333402540303,0.04266349437347506,1.5457303776995877,0.0018305334352015823,0.716853370792277,0.09788898772046993,0.2211128193115854,12.06973910820075,0.18053036434592648,0.04929773714977522,1.2487697992943827,0.554072169133023,0.5245382334733328,0.5669700210531958,1.4225805331686192,0.18010536074218694,0.18199690995694265,0.17768173815707297,0.3297378656941988,0.030123394207409622,0.07773305978413617
1500,7.366028897085587,2.804942920089317,0.3929436959412655,1.4341665401064676,0.04073961695339804,1.5492072420664307,0.0015479137078649474,0.7325576802433083,0.10127576219147298,0.2242949254957632,12.200910311432729,0.18144690006695,0.05003701379648571,1.2488119958895256,0.56468713013236,0.5718391846672805,0.5545465392744346,1.4518760697647188,0.1897232212294054,0.18664443669511213,0.1874391057436679,0.35045588687650037,0.031069043868519972,0.07757174048660925
1600,7.352745327740135,2.8756249758096986,0.4029639480326151,1.4367321209621446,0.04274650974052928,1.547467924266597,0.001323996115782812,0.7450230364660062,0.10282497428418604,0.22913672433917515,12.498918504091979,0.1826197663684743,0.05020532449521281,1.2584669767012502,0.567147862486199,0.5889207642076546,0.5269298811372328,1.4687561196193657,0.1969136353474319,0.19591048246522683,0.19652958077724583,0.36220799160902956,0.03261307613501201,0.07721606874976966
1700,7.365802362690682,2.921252884740773,0.4135160443612078,1.479190135276555,0.04522638958570362,1.548981260326777,0.0018732174316240648,0.764234750488117,0.10425076064182369,0.23713987585621518,12.556346313828609,0.18554275761188765,0.05079398731433922,1.2751601487956319,0.5767652867259255,0.6212489398616876,0.5086997890094138,1.4857693729968127,0.1994968480554675,0.20133536784174366,0.19811410555438203,0.389821376115538,0.03406849395213608,0.0768864300333779
1800,7.381673708386095,2.9178967069756934,0.41141714868786433,1.5025465674672573,0.04449025821106389,1.5498148658043973,0.0012357730496150225,0.7850138337695757,0.10584834631258544,0.239787337620494,12.710087848905147,0.18429381773912637,0.0510271298945411,1.2825091284368413,0.588310959890756,0.6486199066740744,0.4925213269343055,1.505591264334611,0.20812159939641567,0.2105797181604517,0.20450276158981726,0.41055260779668684,0.03423154102817797,0.07673348946994693
1900,7.41593614941105,2.9911186282879516,0.4247098473624954,1.519001643125234,0.04493809390489201,1.548346115618721,0.0012369947222420207,0.794294019146737,0.10831950285237796,0.24672319870398388,12.76484266005842,0.18643114034258673,0.05147083536795169,1.2917095514783072,0.5935663466406963,0.6737629240350075,0.47656231138209115,1.5289426264445731,0.2185075608306942,0.2120174250124534,0.21046297244403792,0.41984753466464203,0.035461292595741274,0.07712232658833562
