milliseconds,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm,KK_PP_norm,KKK_P_norm,rel_K_PP_max
2000,2.9710609528611817e-05,0.0002999844114992376,0.0029215691188802444,1.5617622641083697e-05,1.1805816660827486,0.0191635088698003,3.470142617946871e-05,1.1993789282893343,0.000344667616172871,2.1004634935732765e-13,0.11986226682308097,0.0002809009109626949,2.893904713882062e-07,1.5588500762352537e-08,6.19818463708896e-05,3.7176849969877514e-07,0.00013867091727919146,8.450804214855645e-14,3.466689466704097e-08,1.9064422142638126e-05,8.393702198218372e-14,0.00013773317683504093,2.449861427829261e-13,0.00014450584203152931,0.02599439522309412,2.72192005971815e-13
2100,2.971097584743777e-05,0.00029998365284429683,0.002917765839477019,1.637627088790944e-05,1.1794255585754332,0.020304760376224848,3.683983305407832e-05,1.1993406556026114,0.00036590732070186015,2.2299260958981398e-13,0.11985377917707243,0.00027976324899415796,2.890241525622535e-07,1.634715570314505e-08,6.499356952477015e-05,3.946412211543296e-07,0.00014721625344630974,8.971671684697706e-14,3.680317726478533e-08,2.019994782857732e-05,8.911050170723546e-14,0.00014622082283840575,2.600859260808746e-13,0.000153410741472808,0.027259094885079573,2.889686295755838e-13
2200,2.971134216626372e-05,0.00029998289418935604,0.0029139625600737933,1.7134919134735176e-05,1.1782694510681178,0.021446011882649395,3.897823992868793e-05,1.1993023829158889,0.0003871470252308492,2.3593886982230017e-13,0.1198452915310639,0.00027862558702562105,2.886578337363008e-07,1.7105810643937558e-08,6.80052926786507e-05,4.1751394260988394e-07,0.00015576158961342804,9.492539154539766e-14,3.893945986252968e-08,2.133547351451651e-05,9.428398143228719e-14,0.00015470846884177048,2.7518570937882274e-13,0.0001623156409140866,0.028523803009495904,3.0574525317935216e-13
2300,2.971170848508968e-05,0.00029998213553441525,0.002910159280670568,1.7893567381560916e-05,1.1771133435608025,0.02258726338907394,4.1116646803297544e-05,1.199264110229166,0.0004083867297598384,2.488851300547864e-13,0.11983680388505537,0.00027748792505708414,2.8829151491034806e-07,1.7864465584730067e-08,7.101701583253125e-05,4.4038666406543833e-07,0.00016430692578054632,1.0013406624381827e-13,4.107574246027403e-08,2.24709992004557e-05,9.945746115733893e-14,0.00016319611484513527,2.9028549267677116e-13,0.0001712205403553652,0.02978851959642808,3.225218767831209e-13
2400,2.9712074803915635e-05,0.00029998137687947446,0.0029063560012673423,1.8652215628386654e-05,1.1759572360534871,0.023728514895498484,4.3255053677907156e-05,1.1992258375424432,0.0004296264342888275,2.6183139028727267e-13,0.11982831623904683,0.00027635026308854717,2.879251960843954e-07,1.8623120525522573e-08,7.40287389864118e-05,4.632593855209928e-07,0.00017285226194766463,1.0534274094223889e-13,4.3212025058018383e-08,2.3606524886394894e-05,1.0463094088239069e-13,0.00017168376084850006,3.053852759747195e-13,0.0001801254397966438,0.03105324464596102,3.3929850038688947e-13
2500,2.9712441122741585e-05,0.00029998061822453367,0.0029025527218641167,1.941086387521239e-05,1.174801128546172,0.02486976640192303,4.539346055251677e-05,1.1991875648557202,0.0004508661388178167,2.7477765051975894e-13,0.11981982859303829,0.00027521260112001026,2.875588772584427e-07,1.9381775466315082e-08,7.704046214029235e-05,4.861321069765472e-07,0.0001813975981147829,1.1055141564065947e-13,4.5348307655762736e-08,2.4742050572334086e-05,1.098044206074424e-13,0.00018017140685186485,3.204850592726678e-13,0.00018903033923792236,0.032317978158179675,3.560751239906581e-13
2600,2.9712807441567546e-05,0.0002999798595695929,0.0028987494424608917,2.0169512122038125e-05,1.1736450210388565,0.026011017908347575,4.753186742712637e-05,1.1991492921689975,0.00047210584334680565,2.877239107522451e-13,0.11981134094702975,0.00027407493915147335,2.8719255843249003e-07,2.014043040710759e-08,8.005218529417288e-05,5.090048284321016e-07,0.00018994293428190118,1.1576009033908008e-13,4.748459025350708e-08,2.587757625827327e-05,1.1497790033249412e-13,0.00018865905285522962,3.3558484257061603e-13,0.000197935238679201,0.033582720133168965,3.728517475944266e-13
2700,2.9713173760393496e-05,0.0002999791009146521,0.002894946163057666,2.0928160368863863e-05,1.172488913531541,0.02715226941477212,4.9670274301735985e-05,1.1991110194822747,0.0004933455478757947,3.0067017098473133e-13,0.11980285330102121,0.00027293727718293644,2.8682623960653726e-07,2.0899085347900093e-08,8.306390844805344e-05,5.318775498876559e-07,0.00019848827044901944,1.2096876503750066e-13,4.9620872851251426e-08,2.7013101944212465e-05,1.2015138005754588e-13,0.00019714669885859435,3.5068462586856435e-13,0.00020684013812047954,0.03484747057101385,3.8962837119819515e-13
2800,2.971354007921945e-05,0.0002999783422597113,0.0028911428836544406,2.16868086156896e-05,1.1713328060242258,0.028293520921196667,5.18086811763456e-05,1.1990727467955518,0.0005145852524047839,3.136164312172176e-13,0.11979436565501267,0.0002717996152143995,2.864599207805846e-07,2.1657740288692606e-08,8.607563160193397e-05,5.547502713432103e-07,0.00020703360661613774,1.2617743973592126e-13,5.175715544899578e-08,2.814862763015166e-05,1.253248597825976e-13,0.00020563434486195917,3.657844091665127e-13,0.00021574503756175816,0.036112229471799276,4.0640499480196383e-13
2900,2.971390639804541e-05,0.0002999775836047705,0.002887339604251215,2.2445456862515337e-05,1.1701766985169102,0.029434772427621214,5.394708805095521e-05,1.199034474108829,0.000535824956933773,3.265626914497039e-13,0.11978587800900413,0.00027066195324586256,2.860936019546319e-07,2.2416395229485115e-08,8.908735475581452e-05,5.776229927987647e-07,0.00021557894278325605,1.3138611443434188e-13,5.389343804674013e-08,2.928415331609085e-05,1.3049833950764934e-13,0.0002141219908653239,3.8088419246446105e-13,0.00022464993700303676,0.037376996835610174,4.231816184057324e-13
