miliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
3200,4.0561624936362383e-07,3.7333000093376234e-11,2.3806562556417156e-08,7.202217157286864e-07,6.293782675521952e-11,2.6821413680360796e-07,2.3651100563987454e-11,1.975618319433083e-07,8.658871293290703e-07,3.3604570044660793e-07,5.146437776669408e-10,4.3297366775349305e-14,2.1057081909622126e-09,1.8318097062900522e-13,1.0297078431401984e-06,6.126870668628445e-08,8.470719214605176e-06,1.520801740007633e-06,2e-05,1.1864044902582578e-06,7.985140422670022e-07,1.63e-06
3300,4.212274867654952e-07,3.6511884615841854e-11,5.178554764139681e-08,7.289262529586103e-07,6.383311570202659e-11,2.6198087340572435e-07,2.296426093967756e-11,2.2011281202430856e-07,8.674373940537288e-07,3.388168566041131e-07,5.037695125300791e-10,4.3328519106434816e-14,1.9191575328246135e-09,1.647160039780629e-13,1.037252198720121e-06,6.006648062588818e-08,8.483668387381686e-06,1.5165122348891761e-06,2e-05,1.167378183550603e-06,8.392166065030529e-07,1.63e-06
3400,4.1575843757154226e-07,3.537212889517422e-11,-1.0549946169555797e-08,7.366684153421043e-07,6.343907279560391e-11,2.5888690429570524e-07,2.2509869801860136e-11,2.0871550956484497e-07,8.79332419324216e-07,3.331113221921612e-07,4.902740710148781e-10,4.235758702002815e-14,1.6703159837039993e-09,1.821273665359049e-13,1.0176870228359543e-06,6.091258309762488e-08,8.472325286161882e-06,1.5529099152802316e-06,2e-05,1.165962069319279e-06,8.479002674640964e-07,1.63e-06
3500,4.1411031233251487e-07,3.5246488923559875e-11,3.502831212427573e-08,7.302965815680875e-07,6.407388524415057e-11,2.55790547616662e-07,2.2301975411021936e-11,1.9444185065408384e-07,8.762817220124143e-07,3.357825443933505e-07,5.041853128289659e-10,4.251679663501011e-14,2.154320883833201e-09,1.8899554787870073e-13,1.0426506512325262e-06,6.069893941784506e-08,8.471778868301469e-06,1.5347017083057638e-06,2e-05,1.1386435676704214e-06,8.57250721379481e-07,1.63e-06
3600,4.0742274289679404e-07,3.5153667531306495e-11,-1.531686696395871e-08,7.387978738203196e-07,6.459066166505233e-11,2.526512326821213e-07,2.2369986630828997e-11,1.8675844359797988e-07,8.811791691788976e-07,3.2864422501165076e-07,4.812489155630737e-10,4.295753675495455e-14,2.5751898562506346e-09,2.1144500863594898e-13,1.0382189590122933e-06,6.172592131785053e-08,8.43842447304773e-06,1.5688617415385704e-06,2e-05,1.1407667945166109e-06,8.578610308404024e-07,1.63e-06
3700,4.1454956114271543e-07,3.652000998284576e-11,-1.658328455712694e-08,7.420404704989666e-07,6.443690415105775e-11,2.5313179511123373e-07,2.2134386024433042e-11,1.8433792614364876e-07,8.71443658587101e-07,3.330218283270566e-07,4.978074706125313e-10,4.1364666495469366e-14,1.8961899573801437e-09,1.5677973760272175e-13,1.0374801057998284e-06,6.183185103417865e-08,8.422067489731907e-06,1.5691724844269324e-06,2e-05,1.1378457416842484e-06,8.72613833224194e-07,1.63e-06
3800,3.9375801316642476e-07,3.560101138701049e-11,6.199818307617582e-08,7.463509437385812e-07,6.49719226178303e-11,2.47456017562389e-07,2.1818181419862738e-11,1.9913257226483938e-07,8.815313251287782e-07,3.2979916719663526e-07,4.75316910239522e-10,4.1967419552174576e-14,2.5024223279076226e-09,1.636411782684989e-13,1.0321226978968233e-06,6.141064067522322e-08,8.433204406201494e-06,1.5426015659986515e-06,2e-05,1.0994873200018664e-06,8.940636175331361e-07,1.63e-06
3900,4.0714176550447575e-07,3.598708759482781e-11,3.0439390551688775e-08,7.44531252454128e-07,6.524106580778387e-11,2.45468049662859e-07,2.1110964454507486e-11,1.904206904477738e-07,8.82653459172609e-07,3.2766337265322616e-07,5.012641099536564e-10,4.33493927603287e-14,1.6409984148110855e-09,1.713038434505088e-13,1.0352620235199843e-06,6.242958049727417e-08,8.411501049616295e-06,1.559980910711078e-06,2e-05,1.1110308457162542e-06,8.819071821563351e-07,1.63e-06
4000,3.8443529298535527e-07,3.5766112465507045e-11,6.476517353822798e-08,7.529232233787171e-07,6.581338886806718e-11,2.3976471925352664e-07,2.148967326537372e-11,1.7670927320738628e-07,8.73335314539609e-07,3.252282577838966e-07,4.708377702368898e-10,4.2783951710082646e-14,2.0398426376454147e-09,2.0161713865097595e-13,1.0480131004285523e-06,6.269328012516088e-08,8.423952465782318e-06,1.571650637320552e-06,2e-05,1.097582189057651e-06,9.218867996958687e-07,1.63e-06
4100,3.8292882971848266e-07,3.460812480994996e-11,1.5309963267662495e-08,7.559301786139135e-07,6.52337831646716e-11,2.35015873081422e-07,2.1207799977485265e-11,1.859633881031711e-07,8.843337041399904e-07,3.236997141186386e-07,4.764514644105716e-10,4.290513771524392e-14,1.731213256350472e-09,1.9154857568688003e-13,1.0549079920170055e-06,6.187830491812438e-08,8.417925481381044e-06,1.5828675821757336e-06,2e-05,1.096315879657953e-06,9.107875896940716e-07,1.63e-06
4200,3.964980988809947e-07,3.4269671725929776e-11,4.8533421226097823e-08,7.507089163680862e-07,6.585803165229248e-11,2.3297179010619388e-07,2.0621617895907155e-11,1.995026034576498e-07,8.812251351707137e-07,3.2690613603904993e-07,4.917996041514088e-10,4.098506096291622e-14,2.2449474831596923e-09,1.3774140857299665e-13,1.05366700792078e-06,6.277876887474666e-08,8.433380256478746e-06,1.592276159744252e-06,2e-05,1.0769036619179534e-06,9.345831191431258e-07,1.63e-06
4300,3.8391063069626263e-07,3.529030190253e-11,4.154714320977459e-09,7.556199422965707e-07,6.579096925519987e-11,2.3393771274956648e-07,2.0458243094076825e-11,1.6607132081872704e-07,8.849479642734154e-07,3.2678758607757425e-07,4.679755493415593e-10,4.267777836280988e-14,1.7659465614418332e-09,1.866648871829921e-13,1.0622992703457666e-06,6.29324929713017e-08,8.43013739045702e-06,1.5939917634158214e-06,2e-05,1.06686551159053e-06,9.358757097892306e-07,1.63e-06
4400,3.83414081933513e-07,3.418790371779118e-11,3.683929440637271e-08,7.52047603347533e-07,6.633996590114973e-11,2.301151267923844e-07,2.0308637644568263e-11,1.8485556379449832e-07,8.805253368495555e-07,3.203306176212405e-07,4.810970802831976e-10,4.0929846584594605e-14,1.74740713941129e-09,1.927432904586008e-13,1.04466904273369e-06,6.327159655815198e-08,8.411037364695954e-06,1.5813173387835633e-06,2e-05,1.0565198226158998e-06,9.483558463740873e-07,1.63e-06
4500,3.9471616140312874e-07,3.477320968276629e-11,5.8428875525738094e-08,7.632330822862852e-07,6.681197652125461e-11,2.2993766819732277e-07,2.0048518159242115e-11,1.6909322545993012e-07,8.771860117695328e-07,3.260971000873307e-07,4.812124076031505e-10,4.157962200080566e-14,1.991358953551965e-09,1.4148981023928666e-13,1.0615954284482512e-06,6.341682925489811e-08,8.41814543432811e-06,1.5893079680524742e-06,2e-05,1.060601385735829e-06,9.398159949773444e-07,1.63e-06
4600,3.828324691543698e-07,3.488517880455745e-11,-2.2321731109003416e-09,7.6553313435617e-07,6.682502080973619e-11,2.2579945486590177e-07,1.9621403160618104e-11,1.8456502182530307e-07,8.798644128657742e-07,3.2392131445186794e-07,4.555705792267842e-10,4.1045726072231284e-14,2.1795499810738276e-09,1.3647581296085196e-13,1.055904019115286e-06,6.348588768943997e-08,8.429184676003341e-06,1.5920386307568486e-06,2e-05,1.0368907031157962e-06,9.49534290864908e-07,1.63e-06
4700,3.7237377199619435e-07,3.3368504982852274e-11,1.869662063700161e-08,7.622957726166088e-07,6.665193368629213e-11,2.2877801443490106e-07,1.9833763387458083e-11,1.8177365007051438e-07,8.829723051766286e-07,3.25720225216381e-07,4.780373364489523e-10,3.994705636218449e-14,1.9722718597491524e-09,1.39029789462259e-13,1.0642091391322895e-06,6.287416957893277e-08,8.403173937993937e-06,1.6012601140149776e-06,2e-05,1.0504829012571942e-06,9.576020128040164e-07,1.63e-06
4800,4.06171642775573e-07,3.46959158518004e-11,4.5183328520624156e-08,7.654006362036932e-07,6.698877058743168e-11,2.2313638621050115e-07,1.973149264446743e-11,1.638749820219998e-07,8.814318626962632e-07,3.2094265921924826e-07,4.5454747123390304e-10,4.165668911341913e-14,2.262646173275993e-09,1.7647681993904257e-13,1.052543333688593e-06,6.367257758218837e-08,8.39799497834391e-06,1.5963361847108396e-06,2e-05,1.034824119367127e-06,9.800122354874011e-07,1.63e-06
4900,3.756475527320292e-07,3.337257248029031e-11,3.177932409307633e-08,7.630989600683742e-07,6.746443804044997e-11,2.1911942321741053e-07,1.9243107231145486e-11,1.7404953219689212e-07,8.820271679258795e-07,3.25244788654844e-07,4.764588436002309e-10,4.033894307252556e-14,1.909560488604239e-09,1.9302496899708558e-13,1.0593754973846859e-06,6.304684945477723e-08,8.406847348727604e-06,1.6141381611674368e-06,2e-05,1.0354738484595987e-06,9.563756917555558e-07,1.63e-06
5000,3.900075670391628e-07,3.375297645138728e-11,1.4753440483847983e-08,7.721662066553631e-07,6.713402206939192e-11,2.1610853740774195e-07,1.9312616626201318e-11,1.9030633028655994e-07,8.791680614408749e-07,3.1812126968431314e-07,4.4250593784341815e-10,4.0087193123295795e-14,2.2409794848436165e-09,1.0902200754435949e-13,1.049556891957121e-06,6.288557892422867e-08,8.405812851952196e-06,1.5803148592598923e-06,2e-05,1.0213768290757794e-06,9.746283829597838e-07,1.63e-06
