milliseconds,cyclin,dimer,dimer_p,p_dimer,p_dimer_p,cdc25_p,wee1_p,IE_p,UbE_star
3000,25.187315013488018,13.78053109257693,6.65829119073471,30.904268220904424,21.990894212487856,0.04997652496261515,0.09362524022465485,0.008497064952003572,8.622836290612997e-05
3100,24.592942892173916,13.455768740082304,6.798044844545595,30.78010960484424,22.845837215624243,0.051846131875330784,0.09792416137017473,0.00879294107160151,8.921138521002346e-05
3200,24.027648572765617,13.153449526249423,6.943941482247384,30.619838113885205,23.67927278378335,0.05374171462277346,0.10227554749189152,0.009105785532099444,9.235092005680183e-05
3300,23.48939835502908,12.87222251878808,7.096364300150691,30.427088348896614,24.490566085167863,0.05566988791644492,0.10668593392892221,0.00943780677266834,9.567064969160173e-05
3400,22.976342918673005,12.61080893143704,7.255652567615397,30.205183331884193,25.279181042657353,0.05763726627390783,0.11116205401624817,0.009791245059527939,9.919442764305187e-05
3500,22.486794779698663,12.368011515067463,7.422113720005046,29.95715408068041,26.0446618177945,0.059650454422651565,0.11571079353627252,0.010168398490337412,0.00010294651054658382
3600,22.01921620489134,12.142707413801595,7.59603121989903,29.685762886545596,26.786620895240954,0.06171606806925553,0.12033918469336582,0.0105716564124878,0.00010695190683214335
3700,21.572200666603482,11.933854224958464,7.7776734062096535,29.39352102520999,27.504725000477283,0.06384073537216389,0.1250543790598516,0.011003524550571039,0.00011123665010530603
3800,21.144458540368063,11.74048993633097,7.967300747382174,29.0827073945064,28.198683563551377,0.06603111023757034,0.12986363567348616,0.01146665144006912,0.00011582810027043028
3900,20.734805069555797,11.561730431908071,8.165172207093242,28.7553868187291,28.86823856543289,0.06829389196979731,0.13477431656396052,0.011963859232598335,0.00012075526348070483
4000,20.342149276322832,11.396767087329483,8.371550765667939,28.413427007086458,29.513155535440514,0.07063584708251926,0.1397938861415436,0.012498174555144917,0.00012604912315554892
4100,19.965485981135295,11.244861075651535,8.58670781273453,28.058514997406085,30.133216368923318,0.07306383939711122,0.14492992029303692,0.01307286535281477,0.00013174301679203597
4200,19.60388739229489,11.105339380196027,8.810927201027646,27.692172308569482,30.728212495621708,0.07558485811517714,0.15019011460968473,0.013691474558686391,0.0001378730382309283
4300,19.256495714961368,10.977591006341433,9.044508554728498,27.315768550830423,31.29793911256078,0.07820604756670113,0.15558229559778827,0.014357851544504776,0.0001444784295683514
4400,18.92251645514721,10.861062760293924,9.28777034438472,26.930534606803647,31.84218981561666,0.08093473844604496,0.16111443340172338,0.015076186083262553,0.00015160197849733742
4500,18.601213122561678,10.755255916744165,9.541051962167577,26.537573048753508,32.360752697636194,0.08377848056423058,0.16679465724623185,0.015851042562687368,0.0001592904339367427
4600,18.291901793509286,10.659722186862103,9.804716232018043,26.137869501213522,32.853405907556784,0.08674507574517926,0.17263126971356899,0.016687398061350677,0.0001675949320121939
4700,17.9939451940565,10.574059800734826,10.079152031572491,25.732304501191756,33.31991296702031,0.08984260997380553,0.1786327604195017,0.017590677207835498,0.00017657145614542098
4800,17.706751794228737,10.497909520416453,10.364774681354689,25.32165899624845,33.760021713697384,0.09307949315850843,0.18480782741199936,0.018566801397300554,0.00018628140133498096
4900,17.429765522677098,10.430952217988166,10.662030008669543,24.906630088047947,34.173457181845194,0.09646448358657299,0.19116538278256978,0.019622203441559075,0.00019679190031575284
5000,17.162471450418643,10.372906570331905,10.971391117611383,24.487826107859263,34.55992626862023,0.10000673639643361,0.1977145815083651,0.020763882865665707,0.0002081766289011573
