milliseconds,IR,IRins,IRp,IRiP,IRi,IRS,IRSiP,X,Xp
3600,0.2871297252617397,7.3348833550879995,0.46980496582081577,1.9081168273169333,6.512697151734834e-05,6.725317145141515,3.274682854858489,9.989027387971104,0.010972612028881829
3700,0.2876067650806644,7.355064668985383,0.4711266928098867,1.886136710698701,6.516288437089372e-05,6.732508135136626,3.2674918648633784,9.988891909686242,0.011108090313744969
3800,0.28803806450240993,7.374797362067378,0.47242402046987436,1.8646753688052378,6.518461410669049e-05,6.739520066535937,3.2604799334640657,9.988758828530475,0.011241171469510926
3900,0.2884297738579366,7.394042885108687,0.47369345595367235,1.8437686906572743,6.51948814368098e-05,6.746364921127965,3.2536350788720383,9.98862809772705,0.011371902272936099
4000,0.2887872820158114,7.412773379628316,0.47493234556305997,1.8234417972685422,6.519598327657029e-05,6.75304912337948,3.2469508766205233,9.988499672689136,0.011500327310851714
4100,0.2891153159071857,7.430970101141622,0.4761387535308685,1.803710640056527,6.51898228022698e-05,6.759593216914988,3.240406783085015,9.988373510379157,0.011626489620829898
4200,0.289417965996678,7.448621921197298,0.47731134281727966,1.7845835923669549,6.517808079436102e-05,6.766053143410624,3.23394685658938,9.988249570785147,0.011750429214839332
4300,0.28969874425719905,7.4657239894257375,0.47844928152187605,1.7660628231393685,6.516211482499199e-05,6.772390736562599,3.2276092634374054,9.98812781565734,0.011872184342647158
4400,0.2899607120466692,7.482276727172819,0.47955216923610194,1.748145248882178,6.514312123734248e-05,6.778638380374168,3.221361619625837,9.988008207400247,0.01199179259974118
4500,0.29020648662595433,7.498284718366902,0.4806199502955886,1.7308237231413317,6.512202922896426e-05,6.784784475241298,3.2152155247587078,9.987890709162604,0.012109290837384754
4600,0.2904382803464446,7.513755866302086,0.48165284833183836,1.7140879058519158,6.509962672103986e-05,6.790865835019883,3.209134164980123,9.987775285965135,0.012224714034854731
4700,0.2906579967098397,7.528700709966912,0.4826513156366906,1.6979249015895361,6.507655602773351e-05,6.796834583343793,3.2031654166562125,9.98766190324078,0.012338096759211598
4800,0.29086725334693514,7.543131825239269,0.48361598327036537,1.682319885270648,6.505333178716346e-05,6.802768242095636,3.197231757904369,9.987550526838513,0.012449473161477799
4900,0.2910674092012226,7.557063303746542,0.484547620914189,1.6672566362398602,6.50303571924805e-05,6.808577977709785,3.1914220222902223,9.98744112436715,0.012558875632841556
5000,0.29125961583431764,7.570510317100769,0.4854471036054412,1.652717955958672,6.500795980654359e-05,6.81432705553357,3.185672944466438,9.98733366195621,0.012666338043779694
